"order_number";"product_key";"customer_key";"order_date";"shipping_date";"due_date";"sales_amount";"quantity";"price"
"SO54551";244;12252;"2013-03-17";"2013-03-24";"2013-03-29";35;1;35
"SO54552";104;2186;"2013-03-17";"2013-03-24";"2013-03-29";10;1;10
"SO54552";295;2186;"2013-03-17";"2013-03-24";"2013-03-29";5;1;5
"SO54552";247;2186;"2013-03-17";"2013-03-24";"2013-03-29";55;1;55
"SO54553";104;10699;"2013-03-17";"2013-03-24";"2013-03-29";10;1;10
"SO54553";295;10699;"2013-03-17";"2013-03-24";"2013-03-29";5;1;5
"SO54554";272;8853;"2013-03-17";"2013-03-24";"2013-03-29";70;1;70
"SO54555";272;7524;"2013-03-17";"2013-03-24";"2013-03-29";70;1;70
"SO54555";250;7524;"2013-03-17";"2013-03-24";"2013-03-29";50;1;50
"SO54555";166;7524;"2013-03-17";"2013-03-24";"2013-03-29";9;1;9
"SO54556";295;7553;"2013-03-17";"2013-03-24";"2013-03-29";5;1;5
"SO54557";295;7375;"2013-03-17";"2013-03-24";"2013-03-29";5;1;5
"SO54557";168;7375;"2013-03-17";"2013-03-24";"2013-03-29";8;1;8
"SO54558";295;6432;"2013-03-17";"2013-03-24";"2013-03-29";5;1;5
"SO54559";295;6489;"2013-03-17";"2013-03-24";"2013-03-29";5;1;5
"SO54560";289;5045;"2013-03-17";"2013-03-24";"2013-03-29";5;1;5
"SO54560";294;5045;"2013-03-17";"2013-03-24";"2013-03-29";64;1;64
"SO54561";290;5296;"2013-03-17";"2013-03-24";"2013-03-29";4;1;4
"SO54561";286;5296;"2013-03-17";"2013-03-24";"2013-03-29";25;1;25
"SO54561";244;5296;"2013-03-17";"2013-03-24";"2013-03-29";35;1;35
"SO54561";250;5296;"2013-03-17";"2013-03-24";"2013-03-29";50;1;50
"SO54561";234;5296;"2013-03-17";"2013-03-24";"2013-03-29";24;1;24
"SO54562";289;2765;"2013-03-17";"2013-03-24";"2013-03-29";5;1;5
"SO54562";284;2765;"2013-03-17";"2013-03-24";"2013-03-29";35;1;35
"SO54562";246;2765;"2013-03-17";"2013-03-24";"2013-03-29";35;1;35
"SO54563";286;3812;"2013-03-17";"2013-03-24";"2013-03-29";25;1;25
"SO54563";290;3812;"2013-03-17";"2013-03-24";"2013-03-29";4;1;4
"SO54563";168;3812;"2013-03-17";"2013-03-24";"2013-03-29";8;1;8
"SO54564";285;16002;"2013-03-17";"2013-03-24";"2013-03-29";21;1;21
"SO54564";166;16002;"2013-03-17";"2013-03-24";"2013-03-29";9;1;9
"SO54565";288;3536;"2013-03-17";"2013-03-24";"2013-03-29";29;1;29
"SO54566";291;16837;"2013-03-17";"2013-03-24";"2013-03-29";5;1;5
"SO54567";291;16927;"2013-03-17";"2013-03-24";"2013-03-29";5;1;5
"SO54568";291;17424;"2013-03-17";"2013-03-24";"2013-03-29";5;1;5
"SO54568";288;17424;"2013-03-17";"2013-03-24";"2013-03-29";29;1;29
"SO54569";291;15842;"2013-03-17";"2013-03-24";"2013-03-29";5;1;5
"SO54569";288;15842;"2013-03-17";"2013-03-24";"2013-03-29";29;1;29
"SO54569";166;15842;"2013-03-17";"2013-03-24";"2013-03-29";9;1;9
"SO54569";244;15842;"2013-03-17";"2013-03-24";"2013-03-29";35;1;35
"SO54570";288;1569;"2013-03-17";"2013-03-24";"2013-03-29";29;1;29
"SO54570";291;1569;"2013-03-17";"2013-03-24";"2013-03-29";5;1;5
"SO54570";234;1569;"2013-03-17";"2013-03-24";"2013-03-29";24;1;24
